Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,-1.31690615756683,127,127,127
1,-1.5262648264957446,149,122,122
2,-1.3337407054936794,182,118,121
3,-0.808829676160973,217,112,118
4,0.009762079102357683,266,107,115
5,1.0345033447932166,330,101,113
6,2.326603329400995,385,97,112
7,3.5742579186186547,440,96,105
8,4.732014082875911,484,92,105
9,5.8131166135839445,519,90,99
10,6.755119208742444,561,87,91
11,7.734213881330509,593,84,84
12,8.651302270762082,609,79,79
13,9.460700408212647,634,74,73
14,10.329341783316927,656,66,67
15,11.233706015266913,680,61,59
16,12.12003081876423,706,56,57
17,12.914318751104698,717,48,56
18,13.595132650783643,731,45,52
19,14.15311720556599,756,40,40
20,14.869386089994384,763,36,38
21,15.402895956620352,777,28,33
22,16.11309895730414,787,25,29
23,16.663575765779033,794,20,27
24,17.169623106274948,804,9,25
25,17.814234343296288,818,6,17
26,18.366331299435906,830,0,11
27,18.984450562448973,832,0,9
28,19.317123828287876,832,0,9
29,19.47938001606729,830,0,10
30,19.538529755093247,827,0,13
31,19.509192693552343,827,0,11
32,19.523259057329682,828,0,11
33,19.539694422551058,827,0,11
34,19.53757301018823,829,0,11
35,19.54936068471335,827,0,10
36,19.552002591760274,831,0,9
37,19.5782069452622,831,0,10
38,19.57566711504727,831,0,10
39,19.57362086524287,827,0,10
40,19.560421692203956,828,0,10
41,19.551787827963125,825,0,12
42,19.50329513736211,827,0,11
43,19.51331607754215,829,0,9
44,19.554343920534233,832,0,8
45,19.596573821446803,833,0,8
46,19.619387795509564,832,0,8
47,19.62710965375095,832,0,8
48,19.63119508873472,834,0,7
49,19.65359447191256,834,0,7
50,19.66438549254334,830,0,8
51,19.644577830107416,833,0,8
52,19.64363766780466,831,0,9
53,19.62182499070339,831,0,10
54,19.597027022712602,831,0,10
55,19.584130161564214,828,0,12
56,19.539970082719314,832,0,9
57,19.573367500102766,830,0,9
58,19.57721195367558,830,0,10
59,19.572199864966326,829,0,10
60,19.56632195896907,831,0,10
61,19.569603451647904,828,0,10
62,19.561490142880412,829,0,11
63,19.547113968144092,831,0,10
64,19.55964247776117,830,0,11
65,19.548138724763426,826,0,11
66,19.530403307810094,828,0,11
67,19.529147033769377,826,0,10
68,19.523303539268625,827,0,11
69,19.52416264005326,827,0,11
70,19.52519377164852,828,0,11
71,19.526853496384405,830,0,11
72,19.533036023092563,830,0,11
73,19.53490809951442,829,0,11
74,19.532626099787354,830,0,11
75,19.534804847566157,830,0,11
76,19.535539489958534,830,0,10
77,19.551405013030315,831,0,10
78,19.561517721338177,832,0,9
79,19.58358632915074,832,0,9
80,19.594561760348306,832,0,9
81,19.599931192748535,834,0,6
82,19.65162373797737,835,0,6
83,19.680825896759412,832,0,7
84,19.66518761621101,833,0,6
85,19.683371139662633,831,0,7
86,19.66606076713316,832,0,8
87,19.654431029857598,830,0,8
88,19.642310160345943,833,0,7
89,19.66033867946352,833,0,8
90,19.65431406979872,833,0,7
91,19.66504185020486,832,0,7
92,19.667640811588907,832,0,7
93,19.669357235239517,830,0,6
94,19.665562738065418,833,0,5
95,19.702258489777382,834,0,5
96,19.72430263043824,834,0,5
97,19.73290475554429,836,0,5
98,19.743151144665248,835,0,5
99,19.744157905526258,835,0,5
100,19.74486630107862,836,0,5
